#Version: 1.0
#Software: ZScaler NSS Web Log (synthetic sample for SOC Log Analyzer)
#Fields: datetime	user	department	location	clientip	serverip	method	host	url	action	reason	statuscode	requestsize	responsesize	urlcategory	threatname	riskscore	useragent	referer	appname
2024-05-14 08:10:18	judy@tenex.local	HR	EU-Dublin	10.10.2.29	13.107.42.31	GET	www.linkedin.com	https://www.linkedin.com/	Allowed	-	200	719	16217	Social Networking	-	0	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36	-	-
2024-05-14 08:11:09	erin@tenex.local	IT	EU-Dublin	10.10.1.24	104.18.32.185	GET	stackoverflow.com	https://stackoverflow.com/user/profile	Allowed	-	200	1238	3901	Professional Services	-	0	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4 Safari/605.1.15	-	-
2024-05-14 08:15:19	erin@tenex.local	IT	EU-Dublin	10.10.1.24	3.89.11.195	GET	slack.com	https://slack.com/api/v1/status	Allowed	-	200	474	81036	Instant Messaging	-	0	Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:126.0) Gecko/20100101 Firefox/126.0	-	-
2024-05-14 08:20:21	lena@tenex.local	Legal	HQ-Austin	10.10.4.31	151.101.65.9	GET	www.nytimes.com	https://www.nytimes.com/index.html	Allowed	-	200	276	43105	News and Media	-	0	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4 Safari/605.1.15	-	-
2024-05-14 08:23:26	grace@tenex.local	Engineering	HQ-Austin	10.10.3.26	142.250.72.166	GET	mail.google.com	https://mail.google.com/assets/app.js	Allowed	-	200	468	68384	Webmail	-	0	Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:126.0) Gecko/20100101 Firefox/126.0	-	-
2024-05-14 08:24:51	uma@tenex.local	Sales	HQ-Austin	10.10.1.40	13.107.42.206	GET	www.linkedin.com	https://www.linkedin.com/index.html	Allowed	-	200	349	69889	Social Networking	-	0	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4 Safari/605.1.15	-	-
2024-05-14 08:26:45	grace@tenex.local	Engineering	HQ-Austin	10.10.3.26	3.89.11.90	POST	slack.com	https://slack.com/api/v2/messages	Allowed	-	200	2852	84569	Instant Messaging	-	0	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36	-	-
2024-05-14 08:30:08	sybil@tenex.local	Engineering	Remote-VPN	10.10.3.38	142.250.80.6	GET	docs.google.com	https://docs.google.com/assets/app.js	Allowed	-	200	473	17852	Professional Services	-	0	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4 Safari/605.1.15	-	-
2024-05-14 08:31:24	wendy@tenex.local	IT	HQ-Austin	10.10.3.42	104.109.10.239	GET	www.salesforce.com	https://www.salesforce.com/search?q=deployment	Allowed	-	200	947	41773	Professional Services	-	0	Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:126.0) Gecko/20100101 Firefox/126.0	-	-
2024-05-14 08:32:30	mallory@tenex.local	Engineering	HQ-Austin	10.10.1.32	3.89.11.226	GET	slack.com	https://slack.com/static/main.css	Allowed	-	200	1096	50635	Instant Messaging	-	0	Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:126.0) Gecko/20100101 Firefox/126.0	-	-
2024-05-14 08:34:42	mallory@tenex.local	Engineering	HQ-Austin	10.10.1.32	13.107.42.118	GET	www.linkedin.com	https://www.linkedin.com/search?q=deployment	Allowed	-	200	409	21110	Social Networking	-	0	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36	-	-
2024-05-14 08:34:56	olivia@tenex.local	Sales	EU-Dublin	10.10.3.34	140.82.114.211	GET	api.github.com	https://api.github.com/docs/getting-started	Allowed	-	200	360	43620	Professional Services	-	0	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36	-	-
2024-05-14 08:35:43	ken@tenex.local	IT	HQ-Austin	10.10.3.30	170.114.52.32	POST	zoom.us	https://zoom.us/index.html	Allowed	-	200	1824	5097	Streaming Media	-	0	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36	-	-
2024-05-14 08:39:10	ken@tenex.local	IT	HQ-Austin	10.10.3.30	3.89.11.17	GET	slack.com	https://slack.com/favicon.ico	Allowed	-	200	1361	73967	Instant Messaging	-	0	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4 Safari/605.1.15	-	-
2024-05-14 08:40:09	lena@tenex.local	Legal	HQ-Austin	10.10.4.31	104.16.85.172	GET	cdn.jsdelivr.net	https://cdn.jsdelivr.net/search?q=deployment	Allowed	-	200	1260	35879	Content Servers	-	0	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36	-	-
2024-05-14 08:40:51	lena@tenex.local	Legal	HQ-Austin	10.10.4.31	104.109.10.120	GET	www.salesforce.com	https://www.salesforce.com/search?q=deployment	Allowed	-	200	923	9223	Professional Services	-	0	Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:126.0) Gecko/20100101 Firefox/126.0	-	-
2024-05-14 08:40:53	olivia@tenex.local	Sales	EU-Dublin	10.10.3.34	52.113.194.180	GET	teams.microsoft.com	https://teams.microsoft.com/api/v2/messages	Allowed	-	200	1065	59073	Instant Messaging	-	0	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4 Safari/605.1.15	-	Microsoft 365
2024-05-14 08:41:04	ivan@tenex.local	Sales	Remote-VPN	10.10.1.28	151.101.65.171	GET	www.nytimes.com	https://www.nytimes.com/index.html	Allowed	-	200	764	71151	News and Media	-	0	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4 Safari/605.1.15	-	-
2024-05-14 08:41:26	erin@tenex.local	IT	EU-Dublin	10.10.1.24	52.96.40.137	GET	outlook.office365.com	https://outlook.office365.com/search?q=deployment	Allowed	-	200	422	73014	Webmail	-	0	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4 Safari/605.1.15	-	Microsoft 365
2024-05-14 08:42:59	alice@tenex.local	Engineering	HQ-Austin	10.10.1.20	52.113.194.99	GET	teams.microsoft.com	https://teams.microsoft.com/static/main.css	Allowed	-	200	1210	38447	Instant Messaging	-	0	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4 Safari/605.1.15	-	Microsoft 365
2024-05-14 08:43:56	carol@tenex.local	Sales	HQ-Austin	10.10.3.22	140.82.114.65	GET	api.github.com	https://api.github.com/search?q=deployment	Allowed	-	200	329	50647	Professional Services	-	0	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36	-	-
2024-05-14 08:44:25	frank@tenex.local	Legal	HQ-Austin	10.10.2.25	52.113.194.245	GET	teams.microsoft.com	https://teams.microsoft.com/favicon.ico	Allowed	-	200	478	89451	Instant Messaging	-	0	Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:126.0) Gecko/20100101 Firefox/126.0	-	Microsoft 365
2024-05-14 08:44:39	niaj@tenex.local	Finance	Remote-VPN	10.10.2.33	104.109.10.16	GET	www.salesforce.com	https://www.salesforce.com/user/profile	Allowed	-	200	1325	69994	Professional Services	-	0	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36	-	-
2024-05-14 08:45:42	sybil@tenex.local	Engineering	Remote-VPN	10.10.3.38	13.107.42.220	GET	www.linkedin.com	https://www.linkedin.com/index.html	Allowed	-	200	876	20956	Social Networking	-	0	Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:126.0) Gecko/20100101 Firefox/126.0	-	-
2024-05-14 08:46:33	ivan@tenex.local	Sales	Remote-VPN	10.10.1.28	99.84.108.81	GET	console.aws.amazon.com	https://console.aws.amazon.com/api/v1/status	Allowed	-	200	1043	19467	Professional Services	-	0	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4 Safari/605.1.15	-	-
2024-05-14 08:47:28	rupert@tenex.local	Legal	HQ-Austin	10.10.2.37	151.101.65.177	POST	www.nytimes.com	https://www.nytimes.com/api/v2/messages	Allowed	-	200	4344	6878	News and Media	-	0	Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:126.0) Gecko/20100101 Firefox/126.0	-	-
2024-05-14 08:49:42	heidi@tenex.local	Finance	HQ-Austin	10.10.4.27	52.96.40.102	GET	outlook.office365.com	https://outlook.office365.com/favicon.ico	Allowed	-	200	1054	35948	Webmail	-	0	Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:126.0) Gecko/20100101 Firefox/126.0	-	Microsoft 365
2024-05-14 08:50:28	peggy@tenex.local	HR	HQ-Austin	10.10.4.35	142.250.80.180	GET	docs.google.com	https://docs.google.com/index.html	Allowed	-	301	739	62755	Professional Services	-	0	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4 Safari/605.1.15	-	-
2024-05-14 08:51:12	heidi@tenex.local	Finance	HQ-Austin	10.10.4.27	104.18.32.32	GET	stackoverflow.com	https://stackoverflow.com/user/profile	Allowed	-	200	263	77117	Professional Services	-	0	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36	-	-
2024-05-14 08:51:14	niaj@tenex.local	Finance	Remote-VPN	10.10.2.33	140.82.113.169	GET	github.com	https://github.com/favicon.ico	Allowed	-	200	221	88155	Professional Services	-	0	Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:126.0) Gecko/20100101 Firefox/126.0	-	-
2024-05-14 08:52:23	ken@tenex.local	IT	HQ-Austin	10.10.3.30	13.107.42.244	POST	www.linkedin.com	https://www.linkedin.com/docs/getting-started	Allowed	-	200	3074	13871	Social Networking	-	0	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36	-	-
2024-05-14 08:52:26	wendy@tenex.local	IT	HQ-Austin	10.10.3.42	151.101.65.138	GET	www.nytimes.com	https://www.nytimes.com/index.html	Allowed	-	200	428	66277	News and Media	-	0	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36	-	-
2024-05-14 08:53:54	olivia@tenex.local	Sales	EU-Dublin	10.10.3.34	13.107.42.87	GET	www.linkedin.com	https://www.linkedin.com/assets/app.js	Allowed	-	200	506	55813	Social Networking	-	0	Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:126.0) Gecko/20100101 Firefox/126.0	-	-
2024-05-14 08:55:15	grace@tenex.local	Engineering	HQ-Austin	10.10.3.26	52.113.194.125	GET	teams.microsoft.com	https://teams.microsoft.com/user/profile	Allowed	-	200	247	60059	Instant Messaging	-	0	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4 Safari/605.1.15	-	Microsoft 365
2024-05-14 08:55:47	heidi@tenex.local	Finance	HQ-Austin	10.10.4.27	151.101.65.233	GET	www.nytimes.com	https://www.nytimes.com/favicon.ico	Allowed	-	200	1152	16037	News and Media	-	0	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4 Safari/605.1.15	-	-
2024-05-14 08:56:04	grace@tenex.local	Engineering	HQ-Austin	10.10.3.26	104.16.24.232	GET	registry.npmjs.org	https://registry.npmjs.org/favicon.ico	Allowed	-	200	717	13130	Software Downloads	-	0	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36	-	-
2024-05-14 08:56:08	bob@tenex.local	Finance	HQ-Austin	10.10.2.21	104.109.10.1	GET	www.salesforce.com	https://www.salesforce.com/	Allowed	-	200	328	67909	Professional Services	-	0	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36	-	-
2024-05-14 08:56:48	alice@tenex.local	Engineering	HQ-Austin	10.10.1.20	104.109.10.52	GET	www.salesforce.com	https://www.salesforce.com/docs/getting-started	Allowed	-	200	418	23768	Professional Services	-	0	Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:126.0) Gecko/20100101 Firefox/126.0	-	-
2024-05-14 08:57:14	victor@tenex.local	HR	HQ-Austin	10.10.2.41	142.250.72.191	GET	mail.google.com	https://mail.google.com/api/v2/messages	Allowed	-	200	305	64396	Webmail	-	0	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4 Safari/605.1.15	-	-
2024-05-14 09:00:54	wendy@tenex.local	IT	HQ-Austin	10.10.3.42	104.192.142.95	GET	www.atlassian.net	https://www.atlassian.net/	Allowed	-	200	510	24124	Professional Services	-	0	Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:126.0) Gecko/20100101 Firefox/126.0	-	-
