#Version: 1.0
#Software: ZScaler NSS Web Log (synthetic sample for SOC Log Analyzer)
#Fields: datetime	user	department	location	clientip	serverip	method	host	url	action	reason	statuscode	requestsize	responsesize	urlcategory	threatname	riskscore	useragent	referer	appname
2024-05-14 08:01:54	quinn@tenex.local	IT	HQ-Austin	10.10.1.36	52.113.194.231	GET	teams.microsoft.com	https://teams.microsoft.com/api/v2/messages	Allowed	-	200	682	87482	Instant Messaging	-	0	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4 Safari/605.1.15	-	Microsoft 365
2024-05-14 08:04:20	peggy@tenex.local	HR	HQ-Austin	10.10.4.35	52.113.194.160	GET	teams.microsoft.com	https://teams.microsoft.com/assets/app.js	Allowed	-	200	823	27925	Instant Messaging	-	0	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36	-	Microsoft 365
2024-05-14 08:12:28	xavier@tenex.local	Legal	Remote-VPN	10.10.4.43	13.107.42.194	GET	www.linkedin.com	https://www.linkedin.com/api/v2/messages	Allowed	-	200	729	7468	Social Networking	-	0	Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:126.0) Gecko/20100101 Firefox/126.0	-	-
2024-05-14 08:14:31	grace@tenex.local	Engineering	HQ-Austin	10.10.3.26	52.216.35.25	GET	s3.us-east-1.amazonaws.com	https://s3.us-east-1.amazonaws.com/static/main.css	Allowed	-	200	475	85674	Web Hosting	-	0	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36	-	-
2024-05-14 08:15:12	bob@tenex.local	Finance	HQ-Austin	10.10.2.21	104.16.85.179	GET	cdn.jsdelivr.net	https://cdn.jsdelivr.net/docs/getting-started	Allowed	-	200	691	59381	Content Servers	-	0	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4 Safari/605.1.15	-	-
2024-05-14 08:16:04	victor@tenex.local	HR	HQ-Austin	10.10.2.41	52.113.194.53	GET	teams.microsoft.com	https://teams.microsoft.com/api/v2/messages	Allowed	-	200	1184	61466	Instant Messaging	-	0	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36	-	Microsoft 365
2024-05-14 08:17:19	heidi@tenex.local	Finance	HQ-Austin	10.10.4.27	3.89.11.166	GET	slack.com	https://slack.com/index.html	Allowed	-	200	579	29620	Instant Messaging	-	0	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4 Safari/605.1.15	-	-
2024-05-14 08:17:57	sybil@tenex.local	Engineering	Remote-VPN	10.10.3.38	104.109.10.194	GET	www.salesforce.com	https://www.salesforce.com/docs/getting-started	Allowed	-	200	1259	80106	Professional Services	-	0	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36	-	-
2024-05-14 08:20:46	judy@tenex.local	HR	EU-Dublin	10.10.2.29	99.84.108.209	GET	console.aws.amazon.com	https://console.aws.amazon.com/docs/getting-started	Allowed	-	200	980	34630	Professional Services	-	0	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36	-	-
2024-05-14 08:21:39	grace@tenex.local	Engineering	HQ-Austin	10.10.3.26	142.250.80.9	GET	docs.google.com	https://docs.google.com/api/v2/messages	Allowed	-	200	834	42906	Professional Services	-	0	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36	-	-
